user,deposit_attempts,sucess_deposit_attempts,num_cards,num_cards_success,first_deposit,last_deposit,deposit_sucess_ratio,deposit_time_delta,signup_time_delta,calls,docs_uploaded,docs_approved,approval_rate,sales_view,conversion_owner,sales_agent,account_create_on_date,country_name,tag,channel,ava_business,profile_state,num_closed_trade
10950918,3,1,1,1,21:54.2,21:54.2,0.333333333,0,1564,2,2,2,1,1,Ema Hadar,1,20:43.3,United Kingdom,avafx,Default,United Kingdom,PROFILE_STATE_FULL,2
15641590,6,2,2,1,55:31.5,06:11.7,0.333333333,0,37,1,3,2,0.666666667,0,AvaFX Customer Service,0,59:28.2,Singapore,188233,Affiliates,English,PROFILE_STATE_FULL,20
15507043,3,3,1,1,26:16.5,04:44.7,1,5,56,0,3,2,0.666666667,1,AD Unassigned,0,27:31.2,Sweden,11311,Affiliates,English,PROFILE_STATE_FULL,44
15650575,1,1,1,1,09:44.1,09:44.1,1,0,2,0,2,2,1,1,Dana Pavlova,1,28:00.3,Greece,191995,Affiliates,English,PROFILE_STATE_FULL,20
15642517,4,1,1,1,19:36.3,19:36.3,0.25,0,3,3,6,2,0.333333333,1,David Slomczynski Sales,1,19:11.9,Guadeloupe,191717,Affiliates,Ext. Poland,PROFILE_STATE_FULL,56
15461604,7,7,1,1,22:07.3,11:15.8,1,65,0,3,8,2,0.25,1,AvaFX Customer Service,0,09:01.2,United Arab Emirates,11311,Affiliates,Arabic,PROFILE_STATE_FULL,698
15333876,1,1,1,1,41:53.1,41:53.1,1,0,1,0,2,2,1,0,Davide Modigliani,1,11:08.7,Italy,181445,Affiliates,Ext. Milano,PROFILE_STATE_FULL,0
14507079,12,12,1,1,44:24.3,26:21.4,1,100,7,3,9,8,0.888888889,1,Alev Nazli,1,38:16.0,Canada,avafx,Default,Canada,PROFILE_STATE_FULL,1254
15637383,1,1,1,1,04:43.2,04:43.2,1,0,0,0,2,2,1,0,Maurice Leibowitz,1,15:58.8,Switzerland,190785,Affiliates,German,PROFILE_STATE_FULL,78
15008022,6,6,2,2,29:38.8,08:15.6,1,111,0,0,5,2,0.4,1,AvaFX Customer Service,0,14:51.4,"Moldova, Republic of",89306,Affiliates,Russian,PROFILE_STATE_FULL,135
15340082,2,2,1,1,30:10.9,48:21.7,1,5,0,0,2,2,1,0,Davide Modigliani,1,42:40.8,Italy,181445,Affiliates,Ext. Milano,PROFILE_STATE_FULL,41
14860298,1,1,1,1,07:05.6,07:05.6,1,0,38,1,4,2,0.5,1,AD Unassigned,0,35:23.4,Azerbaijan,asa_app,SEM,Russian,PROFILE_STATE_FULL,100
14542010,5,3,3,2,57:44.0,51:05.8,0.6,8,13,3,5,2,0.4,1,Jacob Hannah,1,08:13.6,Saudi Arabia,179604,Affiliates,Arabic,PROFILE_STATE_FULL,54
15644999,4,4,1,1,09:41.0,48:54.3,1,20,8,0,2,2,1,1,AD Unassigned,0,32:51.2,India,avafx,Default,English,PROFILE_STATE_FULL,22
15703308,1,1,1,1,43:00.7,43:00.7,1,0,0,1,4,2,0.5,1,AvaFX Customer Service,0,02:31.1,France,90291,Affiliates,French,PROFILE_STATE_FULL,0
15574728,9,7,2,2,37:53.8,14:55.1,0.777777778,41,12,0,2,2,1,1,Alev Nazli,1,31:30.3,Jamaica,avafx,Default,English,PROFILE_STATE_FULL,508
15084063,5,1,1,1,12:30.9,12:30.9,0.2,0,4,0,5,3,0.6,1,Pelin YenerSales,1,07:07.6,Turkey,avafx,Default,English,PROFILE_STATE_FULL,5
15556698,5,4,1,1,22:15.5,43:39.9,0.8,21,2,0,5,2,0.4,1,AD Unassigned,0,55:18.1,South Africa,fusionpartners_google_za_search_brand,SEM,South Africa,PROFILE_STATE_FULL,118
14564479,5,5,2,2,35:17.5,33:34.8,1,121,25,0,3,2,0.666666667,0,AvaFX Customer Service,0,38:31.8,Chile,182645,Affiliates,Ext. Chile,PROFILE_STATE_FULL,409
